index,spu_name,label,batch_id
57,【萌宠宠】猫咪零食小鱼干营养增肥发腮宠物零食无盐小鱼干猫零,['宠物 宠物食品 猫零食'],2022-07-01
58,【猫咪小鱼干零食】营养增肥发腮成幼猫零食无盐小鱼猫零食小鱼干,['宠物 宠物食品 猫零食'],2022-07-01
59,仓鼠五谷冻干粮食自配营养粮金丝熊主食花枝鼠饲料小仓鼠用品,['宠物 宠物食品 其它宠物食品'],2022-07-01
60,兔粮兔子饲料荷兰猪饲料粮食宠物兔肉兔粮粮食防球虫营养均,['宠物 宠物食品 其它宠物食品'],2022-07-01
61,彩色磨牙饼仓鼠花枝鼠金丝熊营养磨牙零食,['宠物 宠物食品 其它宠物食品'],2022-07-01
62,兔粮兔子粮兔饲料兔吃粮食幼兔成兔宠物兔粮通用兔粮荷兰猪,['宠物 宠物食品 其它宠物食品'],2022-07-01
63,清爽凡赛尔比利时兔粮垂耳兔食物饲料成兔幼兔粮进口兔粮1.75kg现,['宠物 宠物食品 其它宠物食品'],2022-07-01
64,【现货速发】微粒鱼粮小型鱼孔雀鱼斗鱼饲料观赏鱼食幼鱼热带鱼粮,['宠物 宠物食品 水族饲料'],2022-07-01
65,【现货速发】鱼食小型鱼薄片鱼粮孔雀鱼饲料热带鱼红绿灯科斗鱼粘,['宠物 宠物食品 水族饲料'],2022-07-01
66,麦穗鱼食蚊鱼乌龟龙鱼饲料鱼群游鱼冷水观赏鱼淡水鱼苗包邮,['宠物 宠物食品 水族饲料'],2022-07-01
67,乌龟饲料高钙高蛋白龟粮草龟金钱龟巴西龟虾干鱼干幼龟食通用,['宠物 宠物食品 水族饲料'],2022-07-01
68,俄罗斯金丝黄金草鱼鱼苗耐活物鱼苗养殖饲料鱼塘淡水本地鱼苗,['宠物 宠物食品 水族饲料'],2022-07-01
69,冷冻丰年虾观赏鱼饲料冰冻红虫水蚤冷冻鱼食玛丽鱼七彩六角龙龟粮,['宠物 宠物食品 水族饲料'],2022-07-01
70,强生宠儿液体钙猫咪狗狗健骨补钙营养膏孕幼犬营养品猫犬通用,['宠物 宠物医药品 猫狗保健品'],2022-07-01
71,麦德氏IN-KAT猫维生素营养片60g,['宠物 宠物医药品 猫狗保健品'],2022-07-01
72,【可查防伪】卫仕猫多维 100g 200片 送试吃*2,['宠物 宠物医药品 猫狗保健品'],2022-07-01
73,MAG宠物海藻粉狗狗增色黑鼻头泰迪金毛宠物美毛粉爆毛粉400g护肤,['宠物 宠物医药品 猫狗保健品'],2022-07-01
74,岚狸Lalilali岚狸猫用化毛膏富含海洋益生元调理肠胃温和化毛疏通,['宠物 宠物医药品 猫狗保健品'],2022-07-01
75,美国绝魅深海鱼油狗狗三文鱼油胶囊美毛宠物鱼油卵磷脂犬用爆毛粉,['宠物 宠物医药品 猫狗保健品'],2022-07-01
76,马犬幼犬专用狗狗小马犬钙片健骨补钙宠物营养品缺钙立耳拌狗粮,['宠物 宠物食品 狗粮'],2022-07-01
77,宠物狗益生菌小猫狗狗微量元素片维生素幼犬泰迪金毛补钙营养片,['宠物 宠物医药品 猫狗保健品'],2022-07-01
78,医仕诺猫氨营养液宠物赖氨酸营养上呼吸道猫鼻 ,['宠物 宠物医药品 猫狗保健品'],2022-07-01
79,猫咪狗狗幼小宠物用除耳螨真菌专用滴耳液洗耳液耳朵清洁液消炎药,['宠物 宠物医药品 猫狗医药品'],2022-07-01
80,宠物益生菌猫狗通用1盒50g【程程礼品】,['宠物 宠物医药品 猫狗医药品'],2022-07-01
81,云酵痘疫清鸽痘药鸽痘消鸽子用品药大全常见病鸽瘟病毒新城疫鸽药,['宠物 宠物医药品 其它宠物医药品'],2022-07-01
82,赛巴斯鸽药六联多抗口服使用新城疫腺病毒沙门氏鸽痘衣原体呼吸道,['宠物 宠物医药品 其它宠物医药品'],2022-07-01
83,鸽子药冠能德过三关毛滴虫呼吸道球虫幼鸽喂一次交公棚飞好成绩,['宠物 宠物医药品 其它宠物医药品'],2022-07-01
84,德国冠能德鸽药(极速风暴)赛鸽用品信鸽药品鸽子鸽药包邮,['宠物 宠物医药品 其它宠物医药品'],2022-07-01
85,QUAN虫清鸟鸽用驱虫杀虫药赛鸽药球虫毛滴虫鸽子打虫药大全常见病,['宠物 宠物医药品 其它宠物医药品'],2022-07-01
86,鸽子用品药拉稀绿便水便鹦鹉鸟鸽子药大全常见病鸽药调理肠胃保健,['宠物 宠物医药品 其它宠物医药品'],2022-07-01
87,水产养殖鱼药碳源肥水稳水补充水体营养鱼虾蟹调节碳氮比水产营养,['宠物 宠物医药品 水族医药品'],2022-07-01
88,强微硝氨双脱复合菌氨氮去除亚盐速降好氧反硝化水产养殖鱼药em菌,['宠物 宠物医药品 水族医药品'],2022-07-01
89,渔之家硫醚沙星水产养殖水霉病专治鱼药白毛水霉净鱼虾蟹低温,['宠物 宠物医药品 水族医药品'],2022-07-01
90,过硫酸氢钾复合盐改底水产养殖鱼塘消毒杀菌鱼药增氧净水剂泡腾片,['宠物 宠物医药品 水族医药品'],2022-07-01
91,二氧化氯泡腾片 鱼塘消毒杀菌 水产养殖鱼药水库池塘水质净化改,['宠物 宠物医药品 水族医药品'],2022-07-01
92,【源头工厂】狗狗衣服秋冬款泰迪比熊博美四脚背带裤奶狗吉娃娃,['宠物 宠物用品 宠物服饰'],2022-07-01
93,卡通比熊棉马甲宠物狗狗幼犬衣服泰迪博美雪纳瑞猫咪小型犬秋冬装,['宠物 宠物用品 宠物服饰'],2022-07-01
94,秋冬雪纳瑞泰迪狗小型犬假两件棉背心,['宠物 宠物用品 宠物服饰'],2022-07-01
95,狗狗衣服春夏装薄款小皮标T恤泰迪比熊博美小型犬宠物夏季潮流款,['宠物 宠物用品 宠物服饰'],2022-07-01
96,【优惠】可爱套头兔子装宠物狗狗衣服秋冬季泰迪小鹿犬英短猫咪小,['宠物 宠物用品 宠物服饰'],2022-07-01
97,逗猫棒猫咪玩具互动加长钢丝杆羽毛 铃铛仙女耐用结实球宠物用品,['宠物 宠物用品 宠物玩具'],2022-07-01
98,10件套】狗玩具宠物玩具幼犬小狗磨牙耐咬发声玩具惨叫鸡狗狗用品,['宠物 宠物用品 宠物玩具'],2022-07-01
99,新宠物玩具发声玩具美单猫狗玩具幼犬泰迪比熊贵宾金毛小狗磨牙,['宠物 宠物用品 宠物玩具'],2022-07-01
100,【yao头晃脑】宠物狗狗玩具猫咪用品耐咬解闷发声幼犬尖叫鸡小狗,['宠物 宠物用品 宠物玩具'],2022-07-01
101,傅沛狗狗玩具耐咬弹力球宠物玩具狗狗用品宠物用品狗狗磨牙玩具小,['宠物 宠物用品 宠物玩具'],2022-07-01
102,智能宠物烘干箱猫咪烘干机静音全自动狗狗中小型犬吹水机吹干神器,['宠物 宠物用品 宠物智能设备'],2022-07-01
103,【视频对讲】玲珑猫宠物自动喂食器定时狗狗智能自动猫咪投粮机,['宠物 宠物用品 宠物智能设备'],2022-07-01
104,2L自动喂鱼器锦鲤龙鱼鹦鹉金鱼缸龟智能定时定量喂食器大小容量,['宠物 宠物用品 宠物智能设备'],2022-07-01
105,宠物用品猫咪饮水机流动静音智能狗狗饮水喂水器自动循环,['宠物 宠物用品 宠物智能设备'],2022-07-01
106,宠物除臭剂智能净味器猫砂盆伴侣狗狗猫咪猫砂自动除菌祛去尿骚味,['宠物 宠物用品 宠物智能设备'],2022-07-01
107,【YIYI】狗厕所狗狗宠物泰迪大中小型犬尿盆便盆小狗厕所,['宠物 宠物用品 狗厕所'],2022-07-01
108,【尚品】掀开式中号平板网格狗厕所泰迪比熊宠物屎盆尿盆,['宠物 宠物用品 狗厕所'],2022-07-01
109,狗狗厕所泰迪狗厕所小型犬宠物用品拉屎尿盆用品狗便盆博美坐便器,['宠物 宠物用品 狗厕所'],2022-07-01
110,夏竹不锈钢狗厕所宠物厕所不锈钢狗用厕所小型中型犬狗用厕所托盘,['宠物 宠物用品 狗厕所'],2022-07-01
111,IVPETS爱蓓诗狗狗厕所特大号狗便盆尿盆中大型犬超大平板犬,['宠物 宠物用品 狗厕所'],2022-07-01
112,宠物包猫包外出便携包泰迪狗包猫咪包折叠包手提猫笼子猫外出箱子,['宠物 宠物用品 猫狗出行用品'],2022-07-01
113,猫包太空舱双肩宠物背包,['宠物 宠物用品 猫狗出行用品'],2022-07-01
114,宠物外出包猫背包泰迪外出猫笼子狗包猫包手提便携笼袋子夏季包箱,['宠物 宠物用品 猫狗出行用品'],2022-07-01
115,（推荐）宠物箱航空箱行李箱猫笼子外出旅行猫咪托运箱狗狗大小,['宠物 宠物用品 猫狗出行用品'],2022-07-01
116,宠物车载垫狗狗跟车出行汽车后座垫卡通脚印防水防污后座狗窝,['宠物 宠物用品 猫狗出行用品'],2022-07-01
117,宠物包舱猫咪外出大容量狗帆布书包携带便携双肩猫包猫背包,['宠物 宠物用品 猫狗出行用品'],2022-07-01
118,阿拉斯加专用神器狗狗梳子梳毛刷去浮毛新款宠物钉耙梳顺毛钢针梳,['宠物 宠物用品 猫狗美容清洁'],2022-07-01
119,【它净】离子水日本同工艺宠物猫狗清洁除泪痕黑下巴,['宠物 宠物用品 猫狗美容清洁'],2022-07-01
120,逸诺PH7狗狗沐浴露宠物除臭持久祛黄比熊博美白毛适用460ml,['宠物 宠物用品 猫狗美容清洁'],2022-07-01
121,狗狗梳子除毛刷萨摩耶金毛专用狗毛清理宠物梳大型犬狗的用品神器,['宠物 宠物用品 猫狗美容清洁'],2022-07-01
122,【JG】猫咪指甲剪宠物指甲狗狗指甲钳新手猫咪幼猫指甲用品,['宠物 宠物用品 猫狗美容清洁'],2022-07-01
123,猫碗双碗不湿嘴自动饮水碗狗狗食盆不锈钢宠物喝水碗防打翻猫粮碗,['宠物 宠物用品 猫狗喂养用品'],2022-07-01
124,狗水盆狗狗喝水器不湿嘴狗碗水碗宠物猫狗喝水盆泰迪饮水器用品,['宠物 宠物用品 猫狗喂养用品'],2022-07-01
125,宠物餐桌猫碗狗碗加高防打翻可调节,['宠物 宠物用品 猫狗喂养用品'],2022-07-01
126,新仓鼠宠物用品防打翻长颈鹿水樽陶瓷立式支架刺猬金丝熊水壶喂,['宠物 宠物用品 其它宠物用品'],2022-07-01
127,宠物喂食器猫碗宠物不锈铁双碗狗碗狗笼悬挂固定式狗碗,['宠物 宠物用品 猫狗喂养用品'],2022-07-01
128,【肉垫】宠物用品猫咪猫狗通用宠物饮水机一起游泳鸭网红,['宠物 宠物用品 猫狗喂养用品'],2022-07-01
129,悯月网红狗窝猫窝 秋冬夏 四季通用床垫子 中小型犬泰迪金毛 ,['宠物 宠物用品 猫狗窝'],2022-07-01
130,【哈皮萌宠】猫窝冬季保暖半封闭猫舍加绒别墅小型犬狗窝可拆洗,['宠物 宠物用品 猫狗窝'],2022-07-01
131,猫窝垫子春夏四季不粘毛垫猫咪狗狗夏季窝睡觉凉快沙发垫通用猫窝,['宠物 宠物用品 猫狗窝'],2022-07-01
132,【推荐】猫窝狗狗窝冬季保暖封闭式加厚猫咪睡觉宠物小型犬可拆洗,['宠物 宠物用品 猫狗窝'],2022-07-01
133,【宠物窝】狗床实木离地猫床泰迪法斗比熊大型犬秋冬狗狗床狗窝,['宠物 宠物用品 猫狗窝'],2022-07-01
134,黄白博美专用宠物杀菌除螨菌除白祛污留香狗狗香波浴液,['宠物 宠物用品 猫狗香波'],2022-07-01
135,心舞疯狂小狗狗沐浴露除臭泰迪专用洗澡液猫咪杀螨香波宠物用,['宠物 宠物用品 猫狗香波'],2022-07-01
136,洋丹狗狗沐浴露金毛比熊泰迪专用洗澡液猫咪萨摩除臭止痒宠物,['宠物 宠物用品 猫狗美容清洁'],2022-07-01
137,狗狗沐浴露SOS 阿拉斯加逸诺泰迪专用除臭猫香波浴液洗澡用品,['宠物 宠物用品 猫狗香波'],2022-07-01
138,狗狗沐浴露幼犬香波宠物狗狗洗澡用品泰迪狗狗沐浴露杀菌除臭杀螨,['宠物 宠物用品 猫狗香波'],2022-07-01
139,猫砂皮蛋混合猫砂7L4袋矿腐膨润土原味豆腐砂除臭猫沙,['宠物 宠物用品 猫砂'],2022-07-01
140,唯晨奶香豆腐猫砂6L绿茶味不沾底结团快大袋除臭无尘可冲马桶12kg,['宠物 宠物用品 猫砂'],2022-07-01
141,倔强的尾巴豆腐猫砂天然原味除臭猫咪用品无尘大袋细颗粒猫沙包邮,['宠物 宠物用品 猫砂'],2022-07-01
142,3.8L*2袋水晶猫砂祛味大颗粒猫沙吸水除臭水晶砂包邮无香低尘精灵,['宠物 宠物用品 猫砂'],2022-07-01
143,猫砂膨润土多省包邮一方10公斤10KG低粉尘易结团除臭20斤,['宠物 宠物用品 猫砂'],2022-07-01
144,超精致主义原味豆腐猫砂6L,['宠物 宠物用品 猫砂'],2022-07-01
145,【君莱】新品美卡全封闭式猫砂盆特大号猫厕所大号猫沙盆隔臭防外,['宠物 宠物用品 猫砂盆'],2022-07-01
146,inFluffy茸里-实木猫砂盆超大码封闭式顶入式大空间防带砂猫厕所,['宠物 宠物用品 猫砂盆'],2022-07-01
147,翻斗半自动猫砂盆猫厕所大号半封闭式除臭马桶猫屎盆免铲屎,['宠物 宠物用品 猫砂盆'],2022-07-01
148,【威子】猫砂盆全封闭式猫厕所大号隔臭防外溅带砂小幼猫沙屎盆,['宠物 宠物用品 猫砂盆'],2022-07-01
149,全封闭式猫砂盆超大号隔臭猫咪厕所网红抽屉式猫屎盆防带砂防外溅,['宠物 宠物用品 猫砂盆'],2022-07-01
150,宠物猫咪单层猫抓柱颜色多多耐用,['宠物 宠物用品 猫狗出行用品'],2022-07-01
151,猫爬架猫抓筒剑麻猫抓板隧道猫窝肥猫猫屋猫爬架猫树猫抓板,['宠物 宠物用品 猫抓板/爬架'],2022-07-01
152,剑麻猫爬架小型跳台猫抓柱猫树猫窝一体猫抓板猫咪爬架猫架子用品,['宠物 宠物用品 猫抓板/爬架'],2022-07-01
153,网红蘑菇猫抓板不掉屑小型猫爬架立式猫咪磨抓板猫爪板剑麻猫抓柱,['宠物 宠物用品 猫抓板/爬架'],2022-07-01
154,【东莱帅】抹茶绿猫爬架猫窝猫树一体大型猫架子吊床梯别墅猫抓柱,['宠物 宠物用品 猫抓板/爬架'],2022-07-01
155,新款剑麻猫爬架抓柱猫玩具磨爪挠痒胡萝卜猫抓板宠物用品,['宠物 宠物用品 宠物玩具'],2022-07-01
156,柴犬幼犬专用牵引绳项圈脖圈可调节背心式胸背带溜狗狗绳子牵狗绳,['宠物 宠物用品 猫狗出行用品'],2022-07-01
157,宠物可爱猫咪遛狗绳项圈泰迪法斗中小型犬皮质脖圈狗狗颈圈牵引绳,['宠物 宠物用品 猫狗出行用品'],2022-07-01
158,狗狗牵引绳挂钩狗链配件不锈钢锁扣万向旋转牛头钩金属头旋转扣子,['宠物 宠物用品 猫狗出行用品'],2022-07-01
159,加长狗狗牵引绳狗绳狗项圈遛狗泰迪金毛宠物大型中型小型犬狗链子,['宠物 宠物用品 猫狗出行用品'],2022-07-01
160,3米5米10米加粗加长狗绳子中型犬狗链大型犬金毛训练召回狗牵引绳,['宠物 宠物用品 猫狗出行用品'],2022-07-01
161,仓鼠造景用品干苔藓垫料笼子造景装饰品房子窝diy造景玩具,['宠物 宠物用品 其它宠物用品'],2022-07-01
162,网红胖胖熊竹制立式食盆支架套装挂碗仓鼠金丝熊刺猬花枝鼠食盆,['宠物 宠物用品 其它宠物用品'],2022-07-01
163,浩清仓鼠浴室厕所两用防飞溅洗澡盆浴沙尿砂房大号金丝熊厕所宠物,['宠物 宠物用品 其它宠物用品'],2022-07-01
164,猫咪纸尿裤猫咪生理裤尿不湿公猫发情母猫姨妈月经裤一次性纸尿裤,['母婴 尿裤湿巾 婴儿尿裤'],2022-07-01
165,西安爱丽丝毛滴虫净60粒赛鸽喉内白点信鸽口黄宠物鸽子用品,['宠物 宠物医药品 其它宠物医药品'],2022-07-01
166,鱼缸过滤材料粗过滤堵水克星50cmX50cm,['宠物 宠物用品 其它水族用品'],2022-07-01
167,NO.1。N-118鱼缸锂电池氧气泵,['宠物 宠物用品 其它水族用品'],2022-07-01
168,增氧泵锂氧气泵静音增氧机钓鱼小型充氧机,['宠物 宠物用品 其它水族用品'],2022-07-01
169,【主播推荐】鱼缸造景鱼缸假山树脂摆件装饰水族用品摆设造景江南,['宠物 宠物用品 其它水族用品'],2022-07-01
170,鱼缸过滤棉专用净水材料高密度净化加厚生化棉去除黄水洗不烂魔毯,['宠物 宠物用品 其它水族用品'],2022-07-01
171,螃蟹缸 养 专用六角恐龙鱼乌龟专用水陆两用鱼缸家用大型特大超大,['宠物 宠物用品 鱼缸'],2022-07-01
172,【生态瓶】挂墙式金鱼缸壁挂鱼缸客厅小型花瓶卧室墙饰微景缸小,['宠物 宠物用品 鱼缸'],2022-07-01
173,鱼缸裸缸小型普通玻璃养金鱼专用扁鱼缸螃蟹缸园圆形鼓缸客厅家用,['宠物 宠物用品 鱼缸'],2022-07-01
174,客厅大大型鱼缸水族箱屏风隔断免换水家用落地底滤2米超白龙鱼缸,['宠物 宠物用品 鱼缸'],2022-07-01
175,定做水母缸定制中型大型鱼缸水母缸酒吧咖啡KTV公司鱼缸水族箱,['宠物 宠物用品 鱼缸'],2022-07-01
176,爱墨小标M108智能标签打印机学校姓名贴药盒标记生活DIY标签,['电脑办公 办公打印 打印机'],2022-07-01
177,汉印MT800无线蓝牙手机打印家用迷小型学生作业试卷便携打印机,['电脑办公 办公打印 打印机'],2022-07-01
178,爱普生EPSON L6178喷墨打印机 商用打印 彩色无线打印/复印/扫描,['电脑办公 办公打印 打印机'],2022-07-01
179,奔图（PANTUM）P2206NW黑白激光无线家用打印机,['电脑办公 办公打印 打印机'],2022-07-01
180,惠普M154a/nw 254nw/dw彩色激光小型打印机无线WiFi家用办公高清,['电脑办公 办公打印 打印机'],2022-07-01
181,印联盟 施乐 C7780 四代 彩色复印机 高标准再制造 特价不包邮,['电脑办公 办公打印 复印机'],2022-07-01
182,佳能5560彩色复印机 Wi-Fi 双面 四川销售,['电脑办公 办公打印 复印机'],2022-07-01
183,【文印链】佳能5560再制造复印机,['电脑办公 办公打印 复印机'],2022-07-01
184,施乐5575彩色黑白A3A4复印机不包邮,['电脑办公 办公打印 复印机'],2022-07-01
185,美版施乐五代中高速黑白打印复印机7970激光印不干胶铜板厚纸7835,['电脑办公 办公打印 复印机'],2022-07-01
186,理光M-C2001/C2000原厂碳粉,['电脑办公 办公打印 墨粉'],2022-07-01
187,迈思Q2612A碳粉适用HP1020 plus墨粉M1005激光打印机HP1005六瓶装,['电脑办公 办公打印 墨粉'],2022-07-01
